,Company Name,Location,Industry,Produktbeschreibung,Vertriebserfolge,Mitbewerber-Analyse,Beschreibung der Marktsituation,Durchgeführte Marktanalyse,Zielbranchen,Sales-Channel,Vertriebsaktivitäten,Team Members,Finanzierungs-Summe,Phase,Art der Finanzierung,Finanzierungsziel,Business Type,Looking for Investment
7106,Mashalot,Minneapolis,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaAppsHandel & EinkaufSoftware,N/A,Nein,"Wendy Zaas, Joseph Serrano, Brian Overson",200.000 USD,N/A,Seed,N/A,N/A,N/A
7107,MascotSecret LLC,Atlanta,Events & Veranstaltungen,N/A,N/A,N/A,Keine Angabe,Nein,Events & Veranstaltungen,N/A,Nein,Donna Lee,510.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7108,MasaPay,Shanghai,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + VersicherungMobilfunkbrancheZahlungenSoftware,N/A,Nein,,115.500.000 CNY,N/A,Series B,N/A,N/A,N/A
7109,Mas Con Movil,Paris,Software,N/A,N/A,N/A,Keine Angabe,Nein,Software,N/A,Nein,Samir Rath,40.000 USD,N/A,Seed,N/A,N/A,N/A
7110,Marymond Corp.,Seoul,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITHandel & EinkaufDesign,N/A,Nein,"Hongjo Yoon, haylie sim, Reena Hong, Bohye Park, Myungbo Kim, Minkyu Park",6.183.855 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7111,Mary Janes World Group,Milton,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesGemeinschaft & LifestyleLebensmittel & GetränkeSport & Unterhaltung,N/A,Nein,S Rowan Wilson,50.000 USD,N/A,Seed,N/A,N/A,N/A
7112,Marxent Labs LLC,Dayton,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITHandel & KonsumBau und GebäudetechnikHandel & EinkaufHardwareMobilfunkbrancheSoftware,N/A,Nein,"Gabe Karp, Beck Besecker, Edward Woiteshek, Jonathan Gordon, Barry Besecker, Rick Hanley, Sonia Schechter, Jeff Mount, Arnie Bellini",28.700.000 USD,N/A,Series C,N/A,N/A,N/A
7113,MartMania,Novosibirsk,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & Einkauf,N/A,Nein,"Eugene Ivanov, Sophia Goldberg",500.000 USD,N/A,Seed,N/A,N/A,N/A
7114,Marsa Energy Inc.,Calgary,Energie & Umwelt,N/A,N/A,N/A,Keine Angabe,Nein,Energie & UmweltProduktionNatürliche Ressourcen,N/A,Nein,,2.855.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7115,Mars Reel Media Corp.,Los Angeles,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaSport & UnterhaltungVideo,N/A,Nein,"Jason Robins, Jason Stein, Christopher Altchek, Brandon Deyo, Shane Battier, Dorth Raphaely, Bradley Deyo, Ashwini Anburajan, Dave Knox, Mike Curtis, Jerry Hall, Phil Chen, Tim Flack, Shihao Wei, Ashish Patel, Kamel Gazzaz",4.825.000 USD,N/A,Seed,N/A,N/A,N/A
7116,Marriage.com,Los Angeles,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & EinkaufGemeinschaft & LifestyleEvents & Veranstaltungen,N/A,Nein,"Lee Essner, Katrina Razavi, Justin Fredericks, Malini Bhatia",N/A,N/A,Seed,N/A,N/A,N/A
7117,Marquee,New York,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaMedien & VerlagswesenSoftware,N/A,Nein,"Jonathan Dube, Paul Greenberg, Katrina Brickner, Alex Cabrera, Supriyo Sinha, Luke Dupont, Alec Perkins, Geoffrey Cook",118.000 USD,N/A,Seed,N/A,N/A,N/A
7118,MarqMetrix,Seattle,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungDaten & AnalytikDesignHardwareProduktion,N/A,Nein,"BRIAN MARQUARDT, SCOTT VAN VUREN",1.040.001 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7119,Maroosh,Mumbai,Lebensmittel & Getränke,N/A,N/A,N/A,Keine Angabe,Nein,"Lebensmittel & GetränkeVerkehr, Transport & Logistik + Automobil",N/A,Nein,Ketan Kadam,1.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7120,"MarkITx, LLC",Chicago,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufSoftware,N/A,Nein,"Howard Tullman, Dan Dal Degan, Ravi Singh, Frank Muscarello, Ben Blair, Bryan Harakh, Marc Brooks",7.410.000 USD,N/A,Series A,N/A,N/A,N/A
7121,MarketYze,Ra`ananah,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufDaten & Analytik,N/A,Nein,"Nave Ronen, Onn Manelson",1.600.000 USD,N/A,Seed,N/A,N/A,N/A
7122,MarketUP,São Paulo,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaUnterhaltungselektronikHardwareVertrieb & MarketingSoftware,N/A,Nein,"Mateus Vicente de Azevedo, Alexandre Parpinelli, Helio Rotenberg, Romero Rodrigues, Alexandre Hohagen, Rodrigo Moreno, Carlos Azevedo",N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
7123,MarketSnacks,New York,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaMedien & Verlagswesen,N/A,Nein,,N/A,N/A,Seed,N/A,N/A,N/A
7124,MarketSharing,New York,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,"EDV & ITPrivatsphäre & SicherheitDienstleistung, Beratung + Recht & Steuern",N/A,Nein,"Daniel Klaus, Joel Smernoff, Paul Fisher, John Amato",1.000.000 USD,N/A,Seed,N/A,N/A,N/A
7125,MarketsandMarkets Research Private Ltd.,Pune,Daten & Analytik,N/A,N/A,N/A,Keine Angabe,Nein,"Daten & AnalytikDesignEvents & VeranstaltungenDienstleistung, Beratung + Recht & SteuernVertrieb & Marketing",N/A,Nein,"Neeraj Bhargava, Sandeep Sugla, Brad Bernstein, Arijit Sengupta, Jagdish Rebello",56.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7126,Matillion Ltd,Manchester,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITDaten & AnalytikSoftware,N/A,Nein,"Andreas Weiskam, Andy Vitus, Matthew Scullion, Kenneth Paqvalen, Andreas Schurch, Kristian Everard, Ed Thompson, Vicki Marchington, Peter McCord, Dru Jacobs, Graeme Cantu-Park, Daniel D'Orazio, Dharmesh Thakker, Eric Anderson, Mark Bloomberg",160.308.117 USD,N/A,Series D,N/A,N/A,N/A
7127,Slate Science LTD PTY,New York,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungGamingSoftware,N/A,Nein,"Leon Kamenev, Ron Rymon, Shmulik London, Rajeev Krishnan",57.000.000 USD,N/A,Series B,N/A,N/A,N/A
7128,Matic Technologies,Roswell,Design,N/A,N/A,N/A,Keine Angabe,Nein,DesignVertrieb & MarketingSoftware,N/A,Nein,"Satyanarayan Verma, Jitendra Verma",N/A,N/A,Seed,N/A,N/A,N/A
7129,Mati Therapeutics Inc.,Austin,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologie,N/A,Nein,"Robert Butchofsky, Christopher Muller, Cameron Nelson",1.625.030 USD,N/A,Seed,N/A,N/A,N/A
7130,Mati Inc.,Durham,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaLebensmittel & Getränke,N/A,Nein,"Salman Azhar, Kurt Schmidt, Jake Stauch, Tatiana Birgisson, Eric Masters",10.318.296 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7131,Maths Pathway,South Melbourne,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungSoftware,N/A,Nein,"Justin Matthys, Richard Wilson, Michaela Epstein",2.100.000 USD,N/A,Seed,N/A,N/A,N/A
7132,Mathaqi,Riyadh,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & Einkauf,N/A,Nein,,266.700 USD,N/A,Seed,N/A,N/A,N/A
7133,MATH 42,Berlin,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungAppsMobilfunkbranchePlattformenSoftware,N/A,Nein,"Raphael Nitsche, Thomas Nitsche, Oxana Nitsche, Maxim Nitsche",1.220.000 EUR,N/A,Seed,N/A,N/A,N/A
7134,Maternity Neighborhood,Charlottesville,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesVerwaltungsdienstleistungenUnterhaltungselektronikHardwareSoftware,N/A,Nein,"Ron DuPlain, Frank Landolt, Raj Gorla, Jeffrey Felt, Brynne Potter, Michael Davis, Bill Marino, Pat LaStrapes, Larry Bell, Dr. Miriam Blum, Daniel Spogen",1.584.774 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7135,Materium Innovation,Ithaca,Produktion,N/A,N/A,N/A,Keine Angabe,Nein,Produktion,N/A,Nein,,N/A,N/A,Pre-Seed,N/A,N/A,N/A
7136,"Material Wrld, Inc.",New York,Textil & Mode,N/A,N/A,N/A,Keine Angabe,Nein,Textil & ModeHandel & EinkaufDesignNachhaltigkeit,N/A,Nein,"Rie Yano, Jie Zheng, Angela Gaimari, Ken Colton, Adam Gries",9.780.000 USD,N/A,Series B,N/A,N/A,N/A
7137,Material Evolution,Belfast,Künstliche Intelligenz,N/A,N/A,N/A,Keine Angabe,Nein,Künstliche IntelligenzDaten & AnalytikSoftware,N/A,Nein,,120.000 USD,N/A,Pre-Seed,N/A,N/A,N/A
7138,MatchPint,Islington,Apps,N/A,N/A,N/A,Keine Angabe,Nein,AppsGamingMobilfunkbrancheSoftware,N/A,Nein,"Dominic Collingwood, Leo MacLehose",1.000.000 GBP,N/A,Seed,N/A,N/A,N/A
7139,MatchMate.Me,Provo,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaEvents & Veranstaltungen,N/A,Nein,Tyler Jordan Richards,N/A,N/A,Seed,N/A,N/A,N/A
7140,MatchLend,New York,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungBanken & Finanzen + VersicherungSoftware,N/A,Nein,Jeff Engler,N/A,N/A,Seed,N/A,N/A,N/A
7141,matchist,Chicago,Gemeinschaft & Lifestyle,N/A,N/A,N/A,Keine Angabe,Nein,Gemeinschaft & LifestyleDaten & AnalytikDesignSoftware,N/A,Nein,"Tim Jahn, Stella Fayman, Itamar Bar-Zakay, Rishi M Kumar",40.000 USD,N/A,Seed,N/A,N/A,N/A
7142,Matchbox,Cambridge,Apps,N/A,N/A,N/A,Keine Angabe,Nein,AppsSoftware,N/A,Nein,"John Barbour, Stephen Marcus, Diana Martz, CeCe Bazar",2.500.000 USD,N/A,Series A,N/A,N/A,N/A
7143,Matchbook,New York,Lebensmittel & Getränke,N/A,N/A,N/A,Keine Angabe,Nein,Lebensmittel & GetränkeMobilfunkbrancheReisen & Tourismus,N/A,Nein,"Pedro Torres-Mackie, Ezra Smyser, Jason D. Schwartz, Jared Wyatt, Gemma Pollard, Evan Bartlett",250.000 USD,N/A,Seed,N/A,N/A,N/A
7144,Premdays,Akasaka,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaTelekommunikationAppsSoftware,N/A,Nein,"Chihiro Aihara, Sugano Yusuke",N/A,N/A,Seed,N/A,N/A,N/A
7145,Matcha,Mountain View,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaVideo,N/A,Nein,"Alireza Masrour, Paul Petrick, Guy Piekarz, Ilan Ben Zeev, Balaji Gopinath",20.000 USD,N/A,Seed,N/A,N/A,N/A
7146,"RootsRated, Inc.",Atlanta,Vertrieb & Marketing,N/A,N/A,N/A,Keine Angabe,Nein,Vertrieb & Marketing,N/A,Nein,"Fynn Glover, Jasdeep Garcha, Giovanni Hobbins",9.000.000 USD,N/A,Series A,N/A,N/A,N/A
7147,Match Rider,Heidelberg,Mobilfunkbranche,N/A,N/A,N/A,Keine Angabe,Nein,"MobilfunkbrancheSoftwareVerkehr, Transport & Logistik + Automobil",N/A,Nein,"Alfie Swartzbaugh, Frank Anders, Katina Schneider",25.000 EUR,N/A,Seed,N/A,N/A,N/A
7148,Match Point Partners,New York,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + Versicherung,N/A,Nein,"Bradford C. Burkett, Breaux Castleman, J. D. Friedland, Jon David Friedland, Jody Holtzman",25.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7149,Mastodon C,London,Daten & Analytik,N/A,N/A,N/A,Keine Angabe,Nein,Daten & AnalytikSoftware,N/A,Nein,"Bruce Durling, Francine Bennett, Elise Huard",12.500 GBP,N/A,Seed,N/A,N/A,N/A
7150,Masterson Industries,Albuquerque,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesUnterhaltungselektronikHardwareProduktion,N/A,Nein,"David Blivin, Rich Glover",2.050.000 USD,N/A,Series A,N/A,N/A,N/A
7151,Masters Of Pie Ltd.,London,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITHardwareSoftware,N/A,Nein,"Karl Maddix, Matt Ratcliffe, Dave Moreau",5.200.000 GBP,N/A,Seed,N/A,N/A,N/A
7152,Master Equation,Pune,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaDaten & AnalytikMobilfunkbranchePlattformenSoftware,N/A,Nein,"Karan Nilakhe, Sanchit Kulkarni",50.000 USD,N/A,Seed,N/A,N/A,N/A
7153,Master Bao,Beijing,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & Einkauf,N/A,Nein,,130.000.000 CNY,N/A,Series A,N/A,N/A,N/A
7154,"MassiveU, Inc",Naples,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungAppsSoftware,N/A,Nein,"John Gamba, Angelo Biasi, Ken Nakai",3.795.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7155,Massive Restaurants Private Limited,Gurgaon,Lebensmittel & Getränke,N/A,N/A,N/A,Keine Angabe,Nein,Lebensmittel & GetränkeReisen & Tourismus,N/A,Nein,Zorawar Kalra,1.600.000.000 INR,N/A,Venture - Series Unknown,N/A,N/A,N/A
7156,Massive Health,San Francisco,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & Soziales,N/A,Nein,"Aza Raskin, Josh Spear, Ron Gutman, Sutha Kamal, Abe Gong, Andrew Rosenthal, Jacob Rothstein",2.250.000 USD,N/A,Seed,N/A,N/A,N/A
7157,Massive Damage,Toronto,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaDaten & AnalytikMobilfunkbrancheNavigation & Kartografie,N/A,Nein,"Ken Seto, Garry Seto, Jon Lim",432.849 USD,N/A,Seed,N/A,N/A,N/A
7158,Mass Vector,Fayetteville,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaHandel & EinkaufDaten & AnalytikSoftware,N/A,Nein,"Adam Vanderbush, Ben Hundley",N/A,N/A,Seed,N/A,N/A,N/A
7159,Mass Relevance,Austin,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaAppsSoftware,N/A,Nein,"Tim Kopp, Don Loeb, Mike Dodd, Sam Decker, Julie Allegro, Eric Falcao, Kevin Dasch, Brian Dainton, Michoel Ogince, Jon Driscoll, Dave Panos, Travis Brady, Eric Freedman, Sean Couch, Matt Corey",5.500.000 USD,N/A,Series A,N/A,N/A,N/A
7160,MASS HORN GROUP,Xuhui,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRVertrieb & MarketingVideo,N/A,Nein,,20.000.000 CNY,N/A,Series B,N/A,N/A,N/A
7161,MaSpatule.com,Paris,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & Einkauf,N/A,Nein,,400.000 EUR,N/A,Seed,N/A,N/A,N/A
7162,Masmoo3,Amman,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungMedien & VerlagswesenMusik und Ton,N/A,Nein,,31.000 USD,N/A,Seed,N/A,N/A,N/A
7163,Maskoolin,Jakarta,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & Einkauf,N/A,Nein,Errol Widhavian,N/A,N/A,Seed,N/A,N/A,N/A
7164,Maskokotas,Spain,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesGemeinschaft & Lifestyle,N/A,Nein,Vicent Jornet Ibiza,N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
7165,SyncRTC Inc,Madrid,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaTelekommunikationHardwareSoftware,N/A,Nein,"Andrew Stott, Víctor Sánchez, Sunir Kapoor, Eulogio Naz, Adrian Garcia Espinosa, Amalia Vaquero, Gloria Bueno, Carolina Corredor Parra, Nitin Kapoor, Zuri Menendez, Roberto de la Casa, Claudia Dorado, Edu Moyano, Mamen Romero, Miquel Ramon Ortega Tido, Felix Zapata, José A. Jarana",1.276.557 USD,N/A,Seed,N/A,N/A,N/A
7166,Mapkin,Boston,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaDaten & AnalytikMobilfunkbrancheNavigation & KartografiePlattformenSoftware,N/A,Nein,"Marc Regan, Angela Gaimari, Jake Wasserman, Evan Mula, Jeremy Borthwick",1.818.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7167,"aMAP.to, Inc.",San Francisco,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaDaten & AnalytikNavigation & Kartografie,N/A,Nein,"Huw Griffiths, Scollay Petry, Jack Gonzalez",1.720.000 USD,N/A,Seed,N/A,N/A,N/A
7168,Mapidy,London,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaVerwaltungsdienstleistungenSoftware,N/A,Nein,Pavel Guzhikov,200.000 USD,N/A,Seed,N/A,N/A,N/A
7169,MapGoo,Shenzhen,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,"EDV & ITInternet & MultimediaDaten & AnalytikVerkehr, Transport & Logistik + Automobil",N/A,Nein,,60.000.000 CNY,N/A,Seed,N/A,N/A,N/A
7170,MAPEGY,Berlin,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,"EDV & ITForschung & EntwicklungKünstliche IntelligenzDaten & AnalytikDesignDienstleistung, Beratung + Recht & SteuernSoftware",N/A,Nein,"Falk Wolsky, Peter Walde, Luis Sperr, Matthias Plaue, Will Polese",N/A,N/A,Seed,N/A,N/A,N/A
7171,"Mapbox, Inc.",Washington,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,"EDV & ITInternet & MultimediaDaten & AnalytikDesignNavigation & KartografieSoftwareVerkehr, Transport & Logistik + Automobil",N/A,Nein,"Miles Grimshaw, Anjana Vakil, Roy Ng, Eric Gundersen, Ryan McIntyre, Andy Lee, Randy Glein, Ira Ehrenpreis, Matt McCall, Vikas Parekh, Peter Sirota, Young Hahn, Paul Veugen, Alex Barth, Robert Ames, Ouliana Trofimenko, John Dombzalski, Bonnie Bogle, Will White, Jeff Hurlock, Marc Prioleau, Megan Wanee, Kevin Fu, JaNelle Hasty, Katie Wandtke, David Da Silva, Madison Draper, Tom MacWright, Leslie Nakajima, Dane Springmeyer, Garrett Miller, Paul Goodman, Bruno Sánchez-Andrade Nuño, Jeremy Stratman, Alexandra Ulsh, Siyu Song, Joel Theodros, Ryan Mannion, Ian Ward, Vladimir Agafonkin, Miroslav Lysyuk, Ryan Baumann, Vlad Arbatov, Bobby Sudekum, Dom Brassey, Justin Miller, Emily Chow, Celina Ward, Charles Kim, Alex Yule, Allan Walker, Tucker Severson, Pablo Guardiola, Eli Fitch",334.175.000 USD,N/A,Series D,N/A,N/A,N/A
7172,Mapado,Lyon,Events & Veranstaltungen,N/A,N/A,N/A,Keine Angabe,Nein,Events & VeranstaltungenReisen & Tourismus,N/A,Nein,"Nicolas Rosset, Jean Defossez, Jerry Nieuviarts",N/A,N/A,Seed,N/A,N/A,N/A
7173,"MAP Health Management, LLC",Austin,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITGesundheitswesen & Soziales,N/A,Nein,"Avi Mukherjee, Jacob Levenson",25.000.000 USD,N/A,Series A,N/A,N/A,N/A
7174,Map Decisions,Bethlehem,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITAppsRegierung & MilitärMobilfunkbrancheSoftware,N/A,Nein,Christian Birch,N/A,N/A,Seed,N/A,N/A,N/A
7175,Manzuo.com,Beijing,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRHandel & EinkaufVertrieb & Marketing,N/A,Nein,Xiaomei Feng,45.000.000 USD,N/A,Series B,N/A,N/A,N/A
7176,"Manzama, Inc.",Bend,Gemeinschaft & Lifestyle,N/A,N/A,N/A,Keine Angabe,Nein,"Gemeinschaft & LifestyleDaten & AnalytikDienstleistung, Beratung + Recht & SteuernSoftware",N/A,Nein,"Dino Vendetti, Tony Abena, Mark Hinkle, Lisa Flynn, Peter J. Ozolin, Scott Mercer, Mike Hollibaugh, Randall Smith, Miles McGoun",3.297.000 USD,N/A,Series A,N/A,N/A,N/A
7177,Manzalab,Paris,Gaming,N/A,N/A,N/A,Keine Angabe,Nein,GamingMobilfunkbrancheSoftware,N/A,Nein,Vincent Berlioz,2.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
7178,Manyoubang,Qingdao Shi,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & Soziales,N/A,Nein,,23.000.000 CNY,N/A,Series A,N/A,N/A,N/A
7179,Manyatta rent,Nairobi,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITBau und GebäudetechnikInternet & Multimedia,N/A,Nein,,24.000 USD,N/A,Seed,N/A,N/A,N/A
7180,Manus Bio Inc.,Cambridge,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologieLebensmittel & Getränke,N/A,Nein,"Raymond Chang, Byron Alsberg, Jason Whaley, Ajikumar Parayil, Prof. Gregory Stephanopoulos, Christine Santos, Zanna McFerson, Michael Carlos, Jeff Anderson, Catherine Pujol-Baxley, Wei Huang",94.800.000 USD,N/A,Series B,N/A,N/A,N/A
7181,Manubia,Zary,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufDaten & AnalytikDesignVertrieb & Marketing,N/A,Nein,"Joanna Zięba, Marek Małachowski",600.000 PLN,N/A,Seed,N/A,N/A,N/A
7182,Manuable,Monterrey,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & Einkauf,N/A,Nein,"Juan Manuel Núñez Nieto, Mario García Dávila, Claudio Tello, Rodrigo Tello, Carolina Cantú, Roberto Ramones, Hugo Gerardo De León Chaverri, Lila Miller, Bere Barcena",20.000 USD,N/A,Pre-Seed,N/A,N/A,N/A
7183,"Mantrii, Inc.",Los Angeles,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRMobilfunkbrancheVertrieb & MarketingSoftware,N/A,Nein,San Rahi,600.000 USD,N/A,Seed,N/A,N/A,N/A
7184,Manomasa,Gateshead,Lebensmittel & Getränke,N/A,N/A,N/A,Keine Angabe,Nein,Lebensmittel & Getränke,N/A,Nein,Calum Ryder,3.500.000 GBP,N/A,Venture - Series Unknown,N/A,N/A,N/A
7185,"Shanghai Yinhe Industrial Co., Ltd.",Shanghai,Lebensmittel & Getränke,N/A,N/A,N/A,Keine Angabe,Nein,"Lebensmittel & GetränkeVerkehr, Transport & Logistik + Automobil",N/A,Nein,,N/A,N/A,Series B,N/A,N/A,N/A
7186,"Marfeel, Inc.",Barcelona,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRMedien & VerlagswesenDaten & AnalytikMobilfunkbranche,N/A,Nein,"Gil Regev, Jordi Vinas, Xavier Lazarus, Helena Torras, Urs Cete, Juan Margenat, Jennifer L. Wong, Xavi Beumala, Maria Genoveva dos Santos Conceição, Marcelo Ballona, Alberto Martinez Laguia, Alessandro Pregnolato, Pedro Bruère, Alexian Chiavegato, Yuri Burka, Oliver Fernandez, Simon Birkenhead, Gulliver Handley, Mark Brooks, Sergio Vives",5.550.000 USD,N/A,Series B,N/A,N/A,N/A
7187,Marerua Ltd,São Paulo,Textil & Mode,N/A,N/A,N/A,Keine Angabe,Nein,"Textil & ModeHandel & EinkaufGemeinschaft & LifestyleDesignMobilfunkbrancheDienstleistung, Beratung + Recht & SteuernVertrieb & MarketingSoftwareVerkehr, Transport & Logistik + Automobil",N/A,Nein,"Michael Sherwood, Roberto Eckersdorff, Leo Mata, Hugo Muller, Lucas Nunes",1.432.000 USD,N/A,Seed,N/A,N/A,N/A
7188,Marco Polo Project,Melbourne,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungInternet & Multimedia,N/A,Nein,,3.000 USD,N/A,Seed,N/A,N/A,N/A
7189,Marche Prive,Bois-guillaume,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & EinkaufVertrieb & Marketing,N/A,Nein,,2.100.000 EUR,N/A,Venture - Series Unknown,N/A,N/A,N/A
7190,Marbulutionz Holdings,Johannesburg,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & IT,N/A,Nein,,50.000 ZAR,N/A,Seed,N/A,N/A,N/A
7191,Marbotic,Bègles,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungGemeinschaft & LifestyleSoftware,N/A,Nein,Marie Mérouze,1.500.000 USD,N/A,Seed,N/A,N/A,N/A
7192,Marathon Artists,London,Musik und Ton,N/A,N/A,N/A,Keine Angabe,Nein,Musik und Ton,N/A,Nein,Jimmy Mikaoui,N/A,N/A,Seed,N/A,N/A,N/A
7193,MAQE,Bangkok,"Dienstleistung, Beratung + Recht & Steuern",N/A,N/A,N/A,Keine Angabe,Nein,"Dienstleistung, Beratung + Recht & SteuernSoftware",N/A,Nein,"Michael Hansen, Linus Gunnarson, Andrew Kamthong, Andreas Holmer, Stefan Berggren",N/A,N/A,Seed,N/A,N/A,N/A
7194,Maptia,Seattle,Medien & Verlagswesen,N/A,N/A,N/A,Keine Angabe,Nein,Medien & VerlagswesenBanken & Finanzen + VersicherungReisen & Tourismus,N/A,Nein,"Dean Fischer, Dorothy Sanders, Jonny Miller, Jianshi Huang",158.000 USD,N/A,Seed,N/A,N/A,N/A
7195,Maps.me AG,Zug,Hardware,N/A,N/A,N/A,Keine Angabe,Nein,HardwareNavigation & KartografieSport & UnterhaltungReisen & Tourismus,N/A,Nein,"Yury Melnichek, Eugene Lisovsky, Alex Zolotarev, Yauheniya Melnichek, Eugene Chernysh, Alexandr Rybin, Siarhei Rachytski, Artem Vodolazskiy, Victor Govako, Alena Miranovich, Palina Kavalchuk, Alexander Bobko",50.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
